종목코드,종목명,종가,대비,등락률,상장시가총액
"200130","콜마비앤에이치","25950","-700","-2.63","766655.0"
"213420","덕산네오룩스","30900","-600","-1.90","767283.0"
"215000","골프존","138500","1200","0.87","869145.0"
"215200","메가스터디교육","75900","-1300","-1.68","900317.0"
"256840","한국비엔씨","12650","400","3.27","853690.0"
"001680","대상","21750","-150","-0.68","753595.0"
"006650","대한유화","120000","-500","-0.41","780000.0"
"009420","한올바이오파마","17150","-100","-0.58","895927.0"
"013890","지누스","45000","-3200","-6.64","775459.0"
"014830","유니드","95300","-800","-0.83","847202.0"
"023590","다우기술","17550","-150","-0.85","787409.0"
"032350","롯데관광개발","10750","-250","-2.27","777576.0"
"039130","하나투어","49000","-1000","-2.00","785920.0"
"069260","TKG휴켐스","18300","-150","-0.81","748078.0"
"079160","CJ CGV","20750","-450","-2.12","848056.0"
"082640","동양생명","5280","-190","-3.47","851973.0"
"089590","제주항공","15000","-50","-0.33","746395.0"
"114090","GKL","13700","200","1.48","847423.0"
"161890","한국콜마","38050","0","0.00","870629.0"
"192820","코스맥스","68100","-600","-0.87","772902.0"
"267270","현대건설기계","38600","-1600","-3.98","760451.0"
"300720","한일시멘트","12850","-300","-2.28","890011.0"
"003380","하림지주","7940","-100","-1.24","889325.0"
"046890","서울반도체","10600","50","0.47","618037.0"
"344820","KCC글라스","43300","-1000","-2.26","691523.0"
"084370","유진테크","29500","-50","-0.17","676023.0"
"084990","헬릭스미스","18650","-350","-1.84","702906.0"
"140410","메지온","22150","2600","13.30","592336.0"
"140860","파크시스템스","92100","2800","3.14","639594.0"
"206650","유바이오로직스","17800","550","3.19","648718.0"
"218410","RFHIC","21550","250","1.17","577248.0"
"272290","이녹스첨단소재","33300","150","0.45","670184.0"
"383310","에코프로에이치엔","38150","-150","-0.39","583883.0"
"000070","삼양홀딩스","71400","-1700","-2.33","611489.0"
"003000","부광약품","9480","880","10.23","673678.0"
"003520","영진약품","3645","70","1.96","666644.0"
"003530","한화투자증권","3045","-25","-0.81","653298.0"
"003540","대신증권","14150","-150","-1.05","718444.0"
"003850","보령","10800","500","4.85","741852.0"
"004490","세방전지","48600","-600","-1.22","680400.0"
"005440","현대그린푸드","7430","-140","-1.85","725944.0"
"005880","대한해운","2255","-25","-1.10","719745.0"
"006120","SK디스커버리","34100","-900","-2.57","649191.0"
"020000","한섬","28550","-400","-1.38","703187.0"
"036420","콘텐트리중앙","35100","-1150","-3.17","672948.0"
"103140","풍산","23900","-800","-3.24","669780.0"
"105630","한세실업","15650","-100","-0.63","626000.0"
"192080","더블유게임즈","39850","-1150","-2.80","732224.0"
"241590","화승엔터프라이즈","10800","-350","-3.14","654270.0"
"272450","진에어","13700","-150","-1.08","715140.0"
"294870","HDC현대산업개발","10700","-150","-1.38","705208.0"
"069080","웹젠","18300","-400","-2.14","646189.0"
"025980","아난티","6580","-40","-0.60","568702.0"
"060250","NHN한국사이버결제","12900","-150","-1.15","518072.0"
"089980","상아프론테크","29100","150","0.52","465281.0"
"121800","비덴트","8490","-300","-3.41","435715.0"
"298000","효성화학","167500","-5000","-2.90","534346.0"
"235980","메드팩토","26500","0","0.00","558234.0"
"289220","자이언트스텝","22650","-1150","-4.83","494541.0"
"097520","엠씨넥스","30800","-200","-0.65","553693.0"
"194480","데브시스터즈","46000","-2200","-4.56","544049.0"
