일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/07/15","1403.53","10.26","0.74","1402.43","1404.62","1378.18","192291.0","7884899.0","1.648893453E9"
"2022/07/14","1393.27","-4.51","-0.32","1389.87","1404.42","1384.48","176471.0","7261780.0","1.634028782E9"
"2022/07/13","1397.78","9.84","0.71","1393.30","1405.19","1388.18","158561.0","6623463.0","1.637905619E9"
"2022/07/12","1387.94","-16.14","-1.15","1397.61","1400.42","1380.37","159893.0","6192811.0","1.626676882E9"
"2022/07/11","1404.08","-7.84","-0.56","1415.86","1420.55","1402.61","146548.0","6246140.0","1.645008419E9"
"2022/07/08","1411.92","8.93","0.64","1414.53","1425.03","1411.27","143289.0","6793569.0","1.653406669E9"
"2022/07/07","1402.99","27.11","1.97","1385.62","1411.07","1385.28","146702.0","7203819.0","1.644312124E9"
