종목코드,종목명,종가,대비,등락률,상장시가총액
"012750","에스원","63100","100","0.16","2397748.0"
"001040","CJ","77500","-400","-0.51","2261217.0"
"272210","한화시스템","12250","-150","-1.21","2314263.0"
"047050","포스코인터내셔널","17900","-250","-1.38","2208415.0"
"012450","한화에어로스페이스","43250","-50","-0.12","2189748.0"
"000080","하이트진로","29300","-550","-1.84","2054915.0"
"001440","대한전선","1625","-20","-1.22","2022269.0"
"004170","신세계","209000","-2000","-0.95","2057643.0"
"006280","녹십자","184000","-500","-0.27","2150323.0"
"138930","BNK금융지주","6240","-140","-2.19","2033836.0"
"047040","대우건설","5120","-120","-2.29","2127988.0"
"064350","현대로템","19200","700","3.78","2095532.0"
"069620","대웅제약","178500","1500","0.85","2068204.0"
"042660","대우조선해양","19300","-50","-0.26","2070710.0"
"000990","DB하이텍","43100","250","0.58","1913579.0"
"112610","씨에스윈드","45500","-1100","-2.36","1918799.0"
"039490","키움증권","71600","-400","-0.56","1877317.0"
"000880","한화","23400","-100","-0.43","1754034.0"
"004370","농심","280500","0","0.00","1706181.0"
"336260","두산퓨얼셀","28000","-900","-3.11","1833824.0"
"088350","한화생명","2050","-55","-2.61","1780487.0"
"285130","SK케미칼","103500","-1500","-1.43","1823751.0"
"081660","휠라홀딩스","27800","150","0.54","1688912.0"
"003090","대웅","28100","600","2.18","1633790.0"
"004000","롯데정밀화학","63200","-2300","-3.51","1630560.0"
"005300","롯데칠성","171000","-1000","-0.58","1586689.0"
"006260","LS","51800","-1000","-1.89","1667960.0"
"111770","영원무역","37100","-800","-2.11","1643955.0"
"011210","현대위아","58700","1100","1.91","1596351.0"
"014820","동원시스템즈","52500","1300","2.54","1532392.0"
"051600","한전KPS","36900","-650","-1.73","1660500.0"
"079550","LIG넥스원","70300","100","0.14","1546600.0"
"007310","오뚜기","447000","-4000","-0.89","1641376.0"
"004800","효성","72000","-1200","-1.64","1517114.0"
"005850","에스엘","31150","200","0.65","1446871.0"
"010120","LS ELECTRIC","49800","-800","-1.58","1494000.0"
"375500","DL이앤씨","37800","-650","-1.69","1462619.0"
"069960","현대백화점","63000","-800","-1.25","1474354.0"
"093370","후성","16300","-200","-1.21","1509491.0"
"298050","효성첨단소재","322500","-8000","-2.42","1444783.0"
"019170","신풍제약","27300","450","1.68","1446490.0"
"000210","DL","64800","-1100","-1.67","1357941.0"
"009240","한샘","55600","-1600","-2.80","1308486.0"
"298020","효성티앤씨","298500","-4500","-1.49","1291813.0"
"120110","코오롱인더","49400","-450","-0.90","1359443.0"
"016380","KG스틸","12200","-400","-3.17","1220109.0"
"000150","두산","63500","-1000","-1.55","1049264.0"
"000240","한국앤컴퍼니","11500","-350","-2.95","1091755.0"
"001120","LX인터내셔널","28800","-50","-0.17","1116288.0"
"001230","동국제강","11950","-150","-1.24","1140421.0"
"271940","일진하이솔루스","31000","100","0.32","1125709.0"
"010780","아이에스동서","38100","-700","-1.80","1177008.0"
"017800","현대엘리베이","25800","-200","-0.77","1053032.0"
"020560","아시아나항공","14250","-400","-2.73","1060368.0"
"185750","종근당","88600","100","0.11","1062140.0"
"001740","SK네트웍스","4215","55","1.32","1046111.0"
"000670","영풍","504000","0","0.00","928388.0"
"001800","오리온홀딩스","15050","0","0.00","942814.0"
"003240","태광산업","886000","-12000","-1.34","986472.0"
"005250","녹십자홀딩스","20950","450","2.20","985241.0"
"009420","한올바이오파마","17150","-100","-0.58","895927.0"
"381970","케이카","18750","0","0.00","901622.0"
"031430","신세계인터내셔날","28600","0","0.00","1021020.0"
"042670","현대두산인프라코어","5080","-100","-1.93","1004638.0"
"073240","금호타이어","3355","-20","-0.59","963758.0"
"178920","PI첨단소재","32650","-100","-0.31","958810.0"
"300720","한일시멘트","12850","-300","-2.28","890011.0"
"009900","명신산업","17500","50","0.29","918227.0"
"001680","대상","21750","-150","-0.68","753595.0"
"003850","보령","10800","500","4.85","741852.0"
"005440","현대그린푸드","7430","-140","-1.85","725944.0"
"006040","동원산업","211500","-2500","-1.17","777821.0"
"006650","대한유화","120000","-500","-0.41","780000.0"
"013890","지누스","45000","-3200","-6.64","775459.0"
"192820","코스맥스","68100","-600","-0.87","772902.0"
"039130","하나투어","49000","-1000","-2.00","785920.0"
"069260","TKG휴켐스","18300","-150","-0.81","748078.0"
"114090","GKL","13700","200","1.48","847423.0"
"161890","한국콜마","38050","0","0.00","870629.0"
"192080","더블유게임즈","39850","-1150","-2.80","732224.0"
"032350","롯데관광개발","10750","-250","-2.27","777576.0"
"000070","삼양홀딩스","71400","-1700","-2.33","611489.0"
"004490","세방전지","48600","-600","-1.22","680400.0"
"020000","한섬","28550","-400","-1.38","703187.0"
"057050","현대홈쇼핑","50700","700","1.40","608400.0"
"294870","HDC현대산업개발","10700","-150","-1.38","705208.0"
"105630","한세실업","15650","-100","-0.63","626000.0"
"241590","화승엔터프라이즈","10800","-350","-3.14","654270.0"
"284740","쿠쿠홈시스","27950","-550","-1.93","627123.0"
"103140","풍산","23900","-800","-3.24","669780.0"
